날짜,친환경,날짜,제로웨이스트
2021-02-16,12.9727,2021-02-16,44.22739
2021-02-17,13.74906,2021-02-17,41.5477
2021-02-18,13.47357,2021-02-18,36.18832
2021-02-19,11.89581,2021-02-19,36.03806
2021-02-20,6.33608,2021-02-20,31.30478
2021-02-21,7.43801,2021-02-21,32.10618
2021-02-22,12.02103,2021-02-22,35.58727
2021-02-23,12.69722,2021-02-23,33.23315
2021-02-24,12.7473,2021-02-24,31.00425
2021-02-25,10.94415,2021-02-25,30.05259
2021-02-26,9.99248,2021-02-26,26.29601
2021-02-27,5.50964,2021-02-27,25.84522
2021-02-28,6.78687,2021-02-28,24.16729
2021-03-01,7.36288,2021-03-01,23.54119
2021-03-02,11.3198,2021-03-02,28.07412
2021-03-03,12.22138,2021-03-03,27.49812
2021-03-04,12.82243,2021-03-04,30.20285
2021-03-05,11.29476,2021-03-05,29.25118
2021-03-06,6.6867,2021-03-06,21.78812
2021-03-07,8.33959,2021-03-07,24.49286
2021-03-08,13.64888,2021-03-08,36.51389
2021-03-09,15.02629,2021-03-09,36.13824
2021-03-10,14.27498,2021-03-10,33.48359
2021-03-11,14.90107,2021-03-11,36.56398
2021-03-12,13.42349,2021-03-12,35.81267
2021-03-13,7.51314,2021-03-13,26.42123
2021-03-14,7.96393,2021-03-14,30.07763
2021-03-15,14.72577,2021-03-15,39.64437
2021-03-16,14.77585,2021-03-16,39.01828
2021-03-17,15.82769,2021-03-17,39.61933
2021-03-18,14.32506,2021-03-18,38.5174
2021-03-19,13.47357,2021-03-19,32.98271
2021-03-20,7.36288,2021-03-20,24.81843
2021-03-21,8.06411,2021-03-21,28.07412
2021-03-22,17.30528,2021-03-22,37.54069
2021-03-23,15.12647,2021-03-23,38.29201
2021-03-24,14.60055,2021-03-24,34.83596
2021-03-25,13.54871,2021-03-25,38.01652
2021-03-26,11.82068,2021-03-26,42.27397
2021-03-27,6.93713,2021-03-27,48.38467
2021-03-28,8.31455,2021-03-28,32.55697
2021-03-29,14.8009,2021-03-29,39.1435
2021-03-30,16.05309,2021-03-30,40.19534
2021-03-31,17.0298,2021-03-31,41.24718
2021-04-01,15.97796,2021-04-01,35.0864
2021-04-02,13.24818,2021-04-02,31.35487
2021-04-03,7.61332,2021-04-03,27.97395
2021-04-04,8.31455,2021-04-04,27.34785
2021-04-05,16.32857,2021-04-05,37.13999
2021-04-06,18.30703,2021-04-06,36.53894
2021-04-07,16.12822,2021-04-07,38.16679
2021-04-08,17.10493,2021-04-08,37.46556
2021-04-09,14.87603,2021-04-09,35.31179
2021-04-10,7.51314,2021-04-10,29.7771
2021-04-11,10.19283,2021-04-11,30.52842
2021-04-12,17.0298,2021-04-12,50.76383
2021-04-13,16.95467,2021-04-13,40.67117
2021-04-14,17.63085,2021-04-14,39.21863
2021-04-15,17.28024,2021-04-15,46.50638
2021-04-16,15.92787,2021-04-16,44.10217
2021-04-17,6.81192,2021-04-17,27.87377
2021-04-18,8.56498,2021-04-18,33.18307
2021-04-19,16.90458,2021-04-19,42.22389
2021-04-20,15.92787,2021-04-20,50.88905
2021-04-21,15.42699,2021-04-21,55.67242
2021-04-22,18.60756,2021-04-22,62.88504
2021-04-23,14.24993,2021-04-23,37.16503
2021-04-24,7.03731,2021-04-24,30.47833
2021-04-25,8.94064,2021-04-25,40.14525
2021-04-26,14.30002,2021-04-26,40.9717
2021-04-27,16.37866,2021-04-27,41.22213
2021-04-28,15.07638,2021-04-28,55.9479
2021-04-29,14.02454,2021-04-29,37.81617
2021-04-30,12.9727,2021-04-30,33.95942
2021-05-01,7.31279,2021-05-01,22.96518
2021-05-02,7.13749,2021-05-02,26.44628
2021-05-03,13.39844,2021-05-03,37.03981
2021-05-04,11.36989,2021-05-04,34.31004
2021-05-05,6.63661,2021-05-05,23.46606
2021-05-06,12.572,2021-05-06,35.16153
2021-05-07,12.39669,2021-05-07,30.90408
2021-05-08,7.56323,2021-05-08,24.04207
2021-05-09,7.38792,2021-05-09,30.02754
2021-05-10,14.62559,2021-05-10,42.39919
2021-05-11,16.42875,2021-05-11,40.17029
2021-05-12,15.65239,2021-05-12,40.44578
2021-05-13,16.50388,2021-05-13,42.5745
2021-05-14,12.82243,2021-05-14,37.716
2021-05-15,7.28775,2021-05-15,24.84347
2021-05-16,9.01577,2021-05-16,33.30828
2021-05-17,16.27848,2021-05-17,43.05033
2021-05-18,15.15151,2021-05-18,38.56749
2021-05-19,8.26446,2021-05-19,25.9454
2021-05-20,14.92612,2021-05-20,44.45279
2021-05-21,14.47533,2021-05-21,36.78938
2021-05-22,7.66341,2021-05-22,22.83996
2021-05-23,6.78687,2021-05-23,27.52316
2021-05-24,14.82594,2021-05-24,39.11845
2021-05-25,16.35361,2021-05-25,40.82143
2021-05-26,16.57901,2021-05-26,46.93213
2021-05-27,16.72927,2021-05-27,44.65314
2021-05-28,14.75081,2021-05-28,38.99323
2021-05-29,7.56323,2021-05-29,25.79514
2021-05-30,9.74204,2021-05-30,28.70022
2021-05-31,16.57901,2021-05-31,41.99849
2021-06-01,15.92787,2021-06-01,41.22213
2021-06-02,14.95116,2021-06-02,41.32231
2021-06-03,15.40195,2021-06-03,37.79113
2021-06-04,14.27498,2021-06-04,36.43876
2021-06-05,7.43801,2021-06-05,29.30127
2021-06-06,8.26446,2021-06-06,30.60355
2021-06-07,15.05133,2021-06-07,38.66766
2021-06-08,17.15502,2021-06-08,37.34034
2021-06-09,15.45204,2021-06-09,37.03981
2021-06-10,15.97796,2021-06-10,34.38517
2021-06-11,12.39669,2021-06-11,35.46205
2021-06-12,6.23591,2021-06-12,25.51965
2021-06-13,6.73678,2021-06-13,33.15802
2021-06-14,15.00125,2021-06-14,39.29376
2021-06-15,14.8009,2021-06-15,35.21162
2021-06-16,12.99774,2021-06-16,39.29376
2021-06-17,12.9727,2021-06-17,32.40671
2021-06-18,12.52191,2021-06-18,32.28149
2021-06-19,6.48635,2021-06-19,19.70949
2021-06-20,6.61157,2021-06-20,24.84347
2021-06-21,13.17305,2021-06-21,31.63035
2021-06-22,11.39494,2021-06-22,33.08289
2021-06-23,12.54695,2021-06-23,31.0293
2021-06-24,12.37165,2021-06-24,29.02579
2021-06-25,10.01753,2021-06-25,26.17079
